,OCC_TITLE,OCC_GROUP
306,First-Line Supervisors of Office and Administrative Support Workers,detailed
307,"Switchboard Operators, Including Answering Service",detailed
308,Bill and Account Collectors,detailed
309,Billing and Posting Clerks,detailed
310,"Bookkeeping, Accounting, and Auditing Clerks",detailed
311,Payroll and Timekeeping Clerks,detailed
312,Procurement Clerks,detailed
313,Tellers,detailed
314,"Financial Clerks, All Other",detailed
315,Brokerage Clerks,detailed
316,"Court, Municipal, and License Clerks",detailed
317,"Credit Authorizers, Checkers, and Clerks",detailed
318,Customer Service Representatives,detailed
319,"Eligibility Interviewers, Government Programs",detailed
320,File Clerks,detailed
321,"Hotel, Motel, and Resort Desk Clerks",detailed
322,"Interviewers, Except Eligibility and Loan",detailed
323,"Library Assistants, Clerical",detailed
324,Loan Interviewers and Clerks,detailed
325,Order Clerks,detailed
326,"Human Resources Assistants, Except Payroll and Timekeeping",detailed
327,Receptionists and Information Clerks,detailed
328,Reservation and Transportation Ticket Agents and Travel Clerks,detailed
329,"Information and Record Clerks, All Other",detailed
330,Cargo and Freight Agents,detailed
331,Couriers and Messengers,detailed
332,"Police, Fire, and Ambulance Dispatchers",detailed
333,"Dispatchers, Except Police, Fire, and Ambulance",detailed
334,Postal Service Clerks,detailed
335,Postal Service Mail Carriers,detailed
336,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed
337,"Production, Planning, and Expediting Clerks",detailed
338,"Shipping, Receiving, and Traffic Clerks",detailed
339,Stock Clerks and Order Fillers,detailed
340,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed
341,Executive Secretaries and Executive Administrative Assistants,detailed
342,Legal Secretaries,detailed
343,Medical Secretaries,detailed
344,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed
345,Computer Operators,detailed
346,Data Entry Keyers,detailed
347,Word Processors and Typists,detailed
348,Insurance Claims and Policy Processing Clerks,detailed
349,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed
350,"Office Clerks, General",detailed
351,"Office Machine Operators, Except Computer",detailed
352,"Office and Administrative Support Workers, All Other",detailed
355,First-Line Supervisors of Construction Trades and Extraction Workers,detailed
356,Carpenters,detailed
357,Cement Masons and Concrete Finishers,detailed
358,Construction Laborers,detailed
359,Pile-Driver Operators,detailed
360,Operating Engineers and Other Construction Equipment Operators,detailed
361,Electricians,detailed
362,Glaziers,detailed
363,"Insulation Workers, Floor, Ceiling, and Wall",detailed
364,"Insulation Workers, Mechanical",detailed
365,"Painters, Construction and Maintenance",detailed
366,"Plumbers, Pipefitters, and Steamfitters",detailed
367,Roofers,detailed
368,Sheet Metal Workers,detailed
369,Structural Iron and Steel Workers,detailed
370,Helpers--Carpenters,detailed
371,Helpers--Electricians,detailed
372,Construction and Building Inspectors,detailed
373,Hazardous Materials Removal Workers,detailed
374,"Construction and Related Workers, All Other",detailed
375,"Rotary Drill Operators, Oil and Gas",detailed
376,"Service Unit Operators, Oil, Gas, and Mining",detailed
377,"Earth Drillers, Except Oil and Gas",detailed
378,"Roustabouts, Oil and Gas",detailed
380,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed
381,"Computer, Automated Teller, and Office Machine Repairers",detailed
382,"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed
383,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed
384,Avionics Technicians,detailed
385,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed
386,Security and Fire Alarm Systems Installers,detailed
387,Aircraft Mechanics and Service Technicians,detailed
388,Automotive Body and Related Repairers,detailed
389,Automotive Service Technicians and Mechanics,detailed
390,Bus and Truck Mechanics and Diesel Engine Specialists,detailed
391,"Mobile Heavy Equipment Mechanics, Except Engines",detailed
392,Motorboat Mechanics and Service Technicians,detailed
